奥拓	ao4 tuo4
猜猜我是谁	cai1 cai1 wo3 shi4 shei2
春秋左氏传	chun1 qiu1 zuo3 shi4 zhuan4
儿女英雄传	er2 nv3 ying1 xiong2 zhuan4
佛罗里达州	fu2 luo2 li3 da2 zhou1
佛罗里达州	fo2 luo2 li3 da2 zhou1
伏尔加格勒	fu2 er3 jia1 ge2 le4
黑奴吁天录	hei1 nu2 yu4 tian1 lu4
黑塞哥维那	hei1 sai4 ge1 wei2 na4
加里宁格勒	jia1 li3 ning2 ge2 le4
萨卡什维利	sa4 ka3 shi2 wei2 li4
射雕英雄传	she4 diao1 ying1 xiong2 zhuan4
索福克勒斯	suo3 fu2 ke4 le4 si1
南无阿弥陀佛	na1 mo2 e1 mi2 tuo2 fo2
重生之大涅磐	chong2 sheng1 zhi1 da4 nie4 pan2
人生自古谁无死	ren2 sheng1 zi4 gu3 shui2 wu2 si3
我的青春谁做主	wo3 de qing1 chun1 shei2 zuo4 zhu3
重生之贼行天下	chong2 sheng1 zhi1 zei2 xing2 tian1 xia4
阿拉伯联合酋长国	a1 la1 bo2 lian2 he2 qiu2 zhang3 guo2
标识	biao1 zhi4
标识	biao1 shi2
不长	bu4 zhang3
不长	bu4 chang2
不了	bu4 le
不了	bu4 liao3
补给	bu3 ji3
长的	chang2 de
长了	zhang3 le
长了	chang2 le
长着	zhang3 zhe
超薄	chao1 bao2
出血	chu1 xue4
出血	chu1 xie3
穿着	chuan1 zhe
穿着	chuan1 zhuo2
大都	da4 du1
大都	da4 dou1
大夫	dai4 fu
大夫	da4 fu1
得多	de duo1
得好	de hao3
得很	de hen3
得了	de2 le
得了	de2 liao3
地说	de shuo1
调到	diao4 dao4
调到	tiao2 dao4
调配	diao4 pei4
都得	dou1 dei3
都会	dou1 hui4
都会	du1 hui4
都是	dou1 shi4
都要	dou1 yao4
都有	dou1 you3
堵塞	du3 se4
对称	dui4 chen4
多了	duo1 le
多重	duo1 zhong4
多重	duo1 chong2
给付	gei3 fu4
给付	ji3 fu4
给予	ji3 yu3
供给	gong1 ji3
光纤	guang1 xian1
还得	hai2 dei3
还给	huan2 gei3
还有	hai2 you3
好似	hao3 si4
华仔	hua2 zai3
回调	hui2 diao4
见长	jian4 chang2
见长	jian4 zhang3
角色	jue2 se4
就得	jiu4 dei3
露出	lu4 chu1
露出	lou4 chu1
露面	lu4 mian4
抛头露面	pao1 tou2 lu4 mian4
露面	lou4 mian4
落下	la4 xia4
落下	lao4 xia4
埋怨	man2 yuan4
美的	mei3 de
美的	mei3 di4
明朝	ming2 chao2
明朝	ming2 zhao1
模板	mu2 ban3
模具	mu2 ju4
模样	mu2 yang4
你得	ni3 dei3
曝光	bao4 guang1
曝光	pu4 guang1
强劲	qiang2 jing4
上调	shang4 diao4
上调	shang4 tiao2
上都	shang4 dou1
上都	shang4 du1
是谁	shi4 shei2
谁的	shei2 de
谁都	shei2 dou1
谁会	shei2 hui4
谁家	shei2 jia1
谁家	shui2 jia1
花落谁家	hua1 luo4 shui2 jia1
谁就	shei2 jiu4
谁来	shei2 lai2
谁能	shei2 neng2
谁让	shei2 rang4
谁是	shei2 shi4
谁说	shei2 shuo1
谁要	shei2 yao4
谁也	shei2 ye3
谁有	shei2 you3
谁又	shei2 you4
谁知	shei2 zhi1
谁知	shui2 zhi1
睡着	shui4 zhao2
睡着	shui4 zhe
说服	shuo1 fu2
说服	shui4 fu2
似的	shi4 de
所长	suo3 chang2
所长	suo3 zhang3
同行	tong2 hang2
同行	tong2 xing2
吐血	tu4 xie3
外传	wai4 zhuan4
外传	wai4 chuan2
我得	wo3 dei3
相称	xiang1 chen4
相称	xiang1 cheng1
泄露	xie4 lou4
泄露	xie4 lu4
也得	ye3 dei3
一行	yi1 xing2
一行	yi1 hang2
有谁	you3 shei2
又得	you4 dei3
咱俩	zan2 lia3
朝阳	zhao1 yang2
朝阳	chao2 yang2
着陆	zhuo2 lu4
着手	zhuo2 shou3
着想	zhuo2 xiang3
真得	zhen1 dei3
中的	zhong1 de
中的	zhong4 di4
重用	zhong4 yong4
重用	chong2 yong4
重重	chong2 chong2
重重	zhong4 zhong4
主角	zhu3 jue2
赚钱	zhuan4 qian2
琢磨	zuo2 mo
琢磨	zhuo2 mo2
更好地	geng4 hao3 de
你是谁	ni3 shi4 shei2
受不了	shou4 bu4 liao3
